theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,y
-0.93040994,-0.49837888,0.3347864,0.64159816,1.1550203,-0.56335562,-0.19878735,-0.4837384,greater than 0.9013542725
1.5102976,0.24033021,0.19455019,0.53441389,0.70505256,-0.66914394,1.0301241,0.16097468,between 0.708821715 and 0.9013542725
-0.62332943,0.4449707,0.93899144,0.88464242,0.88971345,1.5103723,0.16018085,0.0049022963,less than 0.523583695
-0.76802062,-1.2656862,-1.3181868,0.4220654,0.26292471,1.3092023,-0.27085652,-1.3378752,between 0.708821715 and 0.9013542725
0.23265882,-0.019298417,0.61004362,1.1033473,0.2516992,0.89384212,1.2032996,0.22621789,less than 0.523583695
1.4242197,0.23190744,1.3138645,0.81998747,0.80234031,0.31371615,-0.89772943,-0.62471705,less than 0.523583695
-0.049536575,-1.0129401,1.0127786,0.35994588,-0.45350886,-1.2655375,0.76153094,0.58325495,between 0.708821715 and 0.9013542725
0.54686723,0.30773031,-1.3999951,1.1832936,1.5561836,1.3514156,-0.19020248,-0.64940571,between 0.708821715 and 0.9013542725
0.91853213,0.35623757,-0.53427112,-0.75256214,0.32334584,-0.011564887,0.70505718,0.53624564,greater than 0.9013542725
0.79349229,0.97779641,-0.54220254,-1.2405282,-0.58251357,0.9173032,0.88222693,-0.53277628,between 0.708821715 and 0.9013542725
1.2210439,0.70133637,0.073654983,1.0805574,-0.047374642,-1.1048417,-0.20883555,-0.5323086,between 0.708821715 and 0.9013542725
0.41930274,0.73273089,-0.81867514,0.82005609,-0.22641099,0.81811072,0.59140829,-0.66797923,between 0.523583695 and 0.708821715
-1.1224372,-0.34660397,-0.93139623,0.15209057,0.58920868,-0.87329501,1.2988334,-1.2174442,greater than 0.9013542725
-0.9026641,0.18716563,-1.4112887,0.98785617,-1.4929349,-1.5141213,-0.27714773,-0.86858239,greater than 0.9013542725
-0.036083822,0.23292308,1.1745993,-0.2460348,-1.0445077,1.2975257,0.84642664,-0.041653879,less than 0.523583695
1.3934399,-1.4347363,1.4978956,-0.38514639,0.39771185,-1.4528882,0.34846734,1.1931389,between 0.523583695 and 0.708821715
-0.0066642582,1.1625835,0.43739281,1.5480936,-0.15618097,0.11313787,-0.75525834,-1.0615481,less than 0.523583695
0.37295887,-1.1360047,0.60308146,0.68380379,-0.36302497,0.35576515,1.1278415,1.3338311,less than 0.523583695
1.0037857,-0.74548562,0.49004645,0.81240908,0.80826078,0.97522999,0.013601527,-1.1049369,less than 0.523583695
-0.91475916,0.96981035,1.036901,-1.5161163,-0.11811259,-1.0202598,-0.12775369,-1.5028271,between 0.523583695 and 0.708821715
0.54023879,0.86432927,0.58456567,0.047267912,-0.2630037,1.491492,0.10685589,1.4640986,between 0.523583695 and 0.708821715
-0.15885565,0.056616781,0.25899681,0.68574008,0.35988155,-0.0011750195,-0.17544397,-0.74493987,between 0.708821715 and 0.9013542725
0.57436767,0.689692,-1.4479004,1.1982528,-1.031093,-0.52031541,0.77574814,-0.67594745,less than 0.523583695
1.051105,1.3953719,1.5099826,-0.16306969,-0.071150255,1.1583805,0.77986674,-1.5619353,less than 0.523583695
0.031992814,1.5308146,-0.32210478,1.1493946,-0.068557053,-0.32813501,0.048155725,1.1514124,between 0.708821715 and 0.9013542725
1.1644694,-1.3133386,-1.4417077,-1.1704446,-1.2326105,0.81731626,1.2563632,-1.2758787,greater than 0.9013542725
0.71024357,-0.61662269,1.1350713,-1.2385911,1.2817465,0.25094211,-0.42452521,0.35207986,between 0.523583695 and 0.708821715
-1.2155859,1.2165253,-0.94105858,0.12935011,0.054819166,1.1988754,0.21137713,1.3441901,between 0.708821715 and 0.9013542725
-1.3386876,0.27730979,0.66917442,0.92082825,-0.12014371,0.39854041,-0.91276708,-1.0851248,less than 0.523583695
-1.445506,0.16596887,-1.3819823,-0.45115526,1.0729144,-1.13115,1.3791372,1.546539,greater than 0.9013542725
0.9081944,0.53259596,1.3353688,0.56727636,-1.2485281,1.3447114,-0.92179993,-0.16573718,less than 0.523583695
0.5113322,0.057521096,-1.2162608,-1.2005818,1.4831911,-1.3794783,1.384939,0.15467576,greater than 0.9013542725
-0.57876239,-0.54286382,-0.10008376,1.0488989,-1.5403528,0.57960457,-1.2281038,1.4310368,greater than 0.9013542725
0.34442773,-1.3822826,0.85195459,0.28588174,-1.4011731,0.40087477,1.2408331,-0.82385156,less than 0.523583695
0.9889362,0.63612106,-0.059985864,1.0787764,-0.9410875,0.39609518,-0.65119276,1.5297021,between 0.523583695 and 0.708821715
-0.39651594,1.1679635,-1.4820806,0.49773138,-0.36516081,0.83730155,-1.3294892,1.2430508,greater than 0.9013542725
-1.1264789,0.37829831,-0.3774203,-0.47082926,1.5108605,-0.99853406,-0.80001564,0.97005074,between 0.523583695 and 0.708821715
-1.4029726,0.64482402,0.7449875,0.076968145,-1.1847091,-0.65451132,0.61274279,0.65962852,between 0.523583695 and 0.708821715
-0.26959305,0.69568827,-1.3183527,-0.0063049304,-0.63988597,0.28788908,1.237488,-0.84206246,between 0.708821715 and 0.9013542725
0.18006206,0.70611512,-0.99583536,-1.4387637,-1.4150297,0.61746301,1.3597871,-0.1183429,greater than 0.9013542725
1.5388084,-1.0601968,-0.47535725,1.3569668,-1.4595121,-0.76578901,0.96415182,-1.0576487,less than 0.523583695
1.3843321,-0.74637903,-1.1078075,-0.35377532,-1.0227227,1.5059513,-0.30322544,-0.74854628,between 0.708821715 and 0.9013542725
-0.54719638,1.2493394,-1.4657455,-0.42183386,1.3862447,0.47145855,0.11755298,0.63832576,greater than 0.9013542725
-0.20200013,1.4814394,-1.0820941,-0.81666331,-0.11648821,-1.5510786,-0.1800031,-0.70674216,greater than 0.9013542725
-1.5556666,0.12493967,-0.13976796,0.32303789,-1.0584495,0.73613141,0.67690236,0.087501435,less than 0.523583695
1.3163886,-1.1542359,-0.097594354,-0.65446445,-0.64355089,1.3357118,-0.59940483,1.2205759,between 0.523583695 and 0.708821715
-0.42377231,0.16774687,0.59544078,-1.4069705,0.3872305,-0.96475621,-0.20886786,1.5300024,less than 0.523583695
-0.27420931,-1.2124178,0.91265239,-0.35965177,0.28091486,0.79952035,1.337274,-1.341746,less than 0.523583695
1.295166,-0.54906223,-0.95944408,0.96143381,0.14754275,0.56695181,-0.13785637,0.16613711,between 0.708821715 and 0.9013542725
0.56875153,1.160224,-0.070388847,-0.74892236,-1.2227859,-1.4512542,0.86864211,-0.31564835,less than 0.523583695
-1.4890132,-1.424716,0.2019464,0.64533123,-1.0323954,-0.96809142,0.20903169,-1.5194284,between 0.523583695 and 0.708821715
-0.98375094,0.9039277,1.0045226,1.1574192,0.7883754,-1.3970582,-0.3093717,0.33081072,between 0.708821715 and 0.9013542725
-0.81559311,-0.74243785,0.13834435,0.2683184,1.4510828,1.3179997,-0.89573409,0.91386731,greater than 0.9013542725
-1.3213635,-0.52430947,0.81557541,0.13242346,-0.84078723,-1.203026,-1.5182865,-0.80968927,between 0.523583695 and 0.708821715
0.1112062,-0.27277529,0.38857305,-1.2459397,1.4832193,1.0019455,0.79008164,0.39950149,between 0.708821715 and 0.9013542725
0.77755809,1.1818703,-1.0260157,-0.11689476,-1.0968199,1.2202893,-0.23759018,0.20145532,less than 0.523583695
1.0617255,1.1910616,0.2464599,1.020187,1.3119848,-0.127397,-0.10942181,0.10943214,greater than 0.9013542725
-1.5199457,-0.16999289,0.32020882,-1.1370259,-0.60053875,-1.1592218,1.3939445,-1.2598796,between 0.708821715 and 0.9013542725
-0.66499379,0.23765415,-1.5223186,0.95342134,1.2911795,1.2706246,-1.0814474,1.4537276,greater than 0.9013542725
-0.40316608,0.25338493,-0.57320034,-1.4069422,-1.130626,-0.087709566,0.57602612,0.54125181,less than 0.523583695
-1.4003025,-0.26426708,-1.1313842,0.69752751,1.0570618,0.51898773,-1.2945029,-1.3788654,greater than 0.9013542725
-0.30331309,-0.26057458,0.60289305,1.5166124,0.033794049,-0.56948532,0.7957385,-0.78612106,less than 0.523583695
-1.1069261,-1.1774282,0.97737067,0.051169291,-0.062223069,0.071118169,-0.19689988,1.3888452,between 0.708821715 and 0.9013542725
-0.32686669,-1.0395018,0.73682486,-0.93907533,-0.99334974,-0.2265528,-0.73285895,-0.3291208,between 0.523583695 and 0.708821715
-0.53546371,0.55442436,1.1761817,0.49981173,-0.99624117,0.91453629,1.3455305,0.54308012,less than 0.523583695
0.93461188,0.44573933,-0.39373135,0.82233434,-0.54872633,-1.3078729,0.17689577,-1.0211303,between 0.523583695 and 0.708821715
-1.2144222,-1.4818963,-1.0214727,-0.95049217,0.58560376,0.46698637,0.98812527,-0.19447805,greater than 0.9013542725
-1.5147184,-0.98186947,0.98603406,-0.95970146,0.13430169,1.4322523,-0.58298915,-0.61234382,between 0.708821715 and 0.9013542725
0.80424657,-1.049658,-1.0376861,0.69257003,0.026886361,-0.22568559,0.15778778,-0.27568368,greater than 0.9013542725
-1.2592038,-0.20647787,1.2552962,0.80585558,-0.96917507,1.3909172,-0.11906037,1.5675131,less than 0.523583695
-0.0034878593,-0.67031381,-1.5147039,-0.6617995,0.893551,-1.3659967,-1.5160455,-0.15893264,less than 0.523583695
1.3757195,0.7048438,-0.30788013,1.1841044,-0.24329216,1.5319235,-0.51973387,-0.53830337,less than 0.523583695
-0.80902133,1.4127114,-1.2243683,1.1192595,1.0051009,-1.2756669,-1.0304139,-0.15664569,greater than 0.9013542725
-0.24772917,0.17614475,-0.22505547,0.28469476,0.0050636634,-0.22620338,1.1676189,-0.058611771,between 0.708821715 and 0.9013542725
-1.0803315,-1.2917364,-0.31400831,1.5072976,0.39290468,0.5707164,0.99402603,1.4927724,between 0.708821715 and 0.9013542725
-0.48951703,-1.5065054,1.0180068,-0.30804226,1.143735,1.0221503,-1.5706431,1.1505687,between 0.708821715 and 0.9013542725
-0.42010161,0.52142671,-0.011016363,1.4522329,-0.31296832,1.2951227,-0.11643977,1.1463003,less than 0.523583695
0.20559339,0.50286961,0.2998393,1.2376115,-0.16114614,1.4549458,-0.43770092,-0.50946778,less than 0.523583695
-1.1942563,-0.85760858,-1.0844618,0.27598175,-0.71810979,0.73348878,-0.83343927,0.23981245,between 0.708821715 and 0.9013542725
1.1417457,1.183463,1.1736679,0.12556461,0.33548052,0.68488439,1.2033725,0.27922928,less than 0.523583695
-1.2981562,1.2283273,-0.6751035,1.1444855,0.29000146,0.72657973,-0.49819968,1.5542213,greater than 0.9013542725
1.1922097,1.2423155,-0.65175454,0.075649281,-0.1548216,0.4600628,-0.48011761,-0.26601979,between 0.708821715 and 0.9013542725
1.0114934,-1.2340524,-0.21267595,1.3486528,-0.61449611,-0.51360914,0.27974698,0.50543651,between 0.708821715 and 0.9013542725
1.0721006,0.68316851,0.68110702,-1.2694479,-0.38579413,0.80745287,0.045600651,-1.0024908,between 0.523583695 and 0.708821715
-1.3312344,0.94809108,1.5441493,0.44545772,0.82140607,-0.53511233,-0.6642613,0.33307148,between 0.523583695 and 0.708821715
-1.0106113,-0.90994681,-0.98759069,0.72603291,0.79116173,-0.70361532,-1.2422285,0.98539655,between 0.708821715 and 0.9013542725
-0.67886895,0.60722456,-0.78661149,1.273688,-0.58660907,0.30341849,-1.4439379,1.4858452,greater than 0.9013542725
-0.49787672,1.2054624,0.61495491,0.41768262,0.85550724,-1.2443567,0.58475463,0.22579339,greater than 0.9013542725
0.68049039,-0.054333147,1.2794836,1.5359484,0.34917789,-0.15705086,-0.38647669,1.2546692,less than 0.523583695
-0.022032043,0.80031955,1.4503784,-1.4291514,-1.5012001,-0.49735229,-0.4031053,0.78670476,less than 0.523583695
0.5709213,1.2422264,1.0712921,-0.84324988,0.48290359,1.4965508,-1.4222517,-0.10176841,between 0.708821715 and 0.9013542725
1.2760152,-0.50378662,-1.0851898,0.82860428,1.2619702,0.46142271,-1.1040037,0.3198042,greater than 0.9013542725
-0.10920063,0.9654794,1.1256788,-0.55110361,0.067993858,-1.2122729,-0.45303591,1.3094641,less than 0.523583695
0.70553622,0.51010409,1.3167116,0.31716771,0.26772723,-0.26161167,-0.34643718,0.061800176,between 0.523583695 and 0.708821715
-1.1021175,-1.2945151,0.27367578,0.55940357,0.45175444,-1.3560139,1.1726505,0.89033054,greater than 0.9013542725
-0.85260362,0.35507652,-1.2000993,1.4752536,-0.34156134,-0.84642819,-0.52425597,-0.95526727,between 0.708821715 and 0.9013542725
1.428541,-1.5557937,0.27408716,-0.69718094,1.253626,-0.83845903,-1.5656278,0.56560134,less than 0.523583695
-0.22988062,0.65498787,-1.5106651,-1.1384743,0.93756545,-0.39963977,0.59378966,-0.69673553,greater than 0.9013542725
0.17721322,1.0831405,-0.37043755,0.55667116,-1.5649393,-0.22248008,1.0121852,0.062402847,less than 0.523583695
1.0071612,-0.42171735,-1.5125996,0.9136663,-0.63110399,0.19012564,-0.84768887,1.2552159,greater than 0.9013542725
0.097988931,0.0070140434,-1.2889988,0.45385157,0.29919432,1.4960977,-0.4949575,-0.65104732,between 0.523583695 and 0.708821715
1.0656926,-0.79429912,-0.13092754,-0.62470423,-0.77406509,-1.4753229,-0.61930879,-0.66837265,between 0.523583695 and 0.708821715
-0.70011018,1.5337555,0.037465551,-0.059131843,-0.64819666,0.34119689,-0.15074612,-1.5022855,between 0.523583695 and 0.708821715
0.89292216,0.096041668,-0.36343597,-1.4898036,0.7685097,-1.1547579,1.3852889,0.086877544,greater than 0.9013542725
0.40307502,0.4625527,0.23986331,-0.5963668,-1.4001845,0.30461375,-0.99143646,-1.073964,less than 0.523583695
1.4772631,0.97252848,0.80999691,-0.91359721,-0.61716314,0.037496546,1.4197421,0.65369413,between 0.523583695 and 0.708821715
-0.88160309,0.72133165,1.3830779,0.4471415,-1.412968,0.81286503,0.047284148,1.3423083,between 0.523583695 and 0.708821715
-0.59555351,-0.67609196,-0.43661147,0.37086432,-0.44241225,-0.82682419,-1.1792534,1.369857,between 0.708821715 and 0.9013542725
-0.35511646,-0.65518416,-0.71946033,0.77575858,1.3480246,0.20069621,-1.4262577,-1.4923754,greater than 0.9013542725
-0.39811721,-1.2067079,-0.41228684,1.2781622,-0.36588478,1.085247,1.1954944,-0.80095413,greater than 0.9013542725
1.2817708,0.68315762,0.19808086,1.3672686,0.097056707,1.2194049,-0.31237217,-0.5407341,less than 0.523583695
0.6484311,-1.5053202,0.56123568,0.58801622,-0.40818378,-0.052606267,-0.45505757,-0.50899719,between 0.708821715 and 0.9013542725
-0.23192576,-0.44794278,1.3744073,-0.84615026,-1.2332945,-0.88815511,1.0060033,1.4371065,between 0.523583695 and 0.708821715
-1.5029446,0.296817,1.0581945,-0.1021701,0.88057459,-0.34261916,0.58868009,1.1305299,between 0.523583695 and 0.708821715
-0.57194118,-0.11839134,-0.29951986,-1.4298069,1.533087,0.52553508,1.3544936,-0.62532186,between 0.708821715 and 0.9013542725
1.2668867,-0.23583338,1.5570525,-1.4216657,1.3827401,-0.46410129,1.4949643,-1.526671,less than 0.523583695
-0.15867039,1.5703312,-0.99867638,-1.4643619,-0.79574842,0.68676072,-0.024359828,-0.12546194,between 0.708821715 and 0.9013542725
-0.44670468,-1.2816206,0.39486994,1.0204853,-0.91404655,-1.361808,0.95021804,-1.4707094,between 0.523583695 and 0.708821715
-0.76247506,-0.06918099,0.81752485,-0.16098283,-1.1198069,0.92471394,-1.174056,1.4257396,between 0.523583695 and 0.708821715
-1.5664157,-0.0097174619,-1.0850201,-1.406037,0.84157989,0.91100914,0.02575463,-0.21193447,greater than 0.9013542725
0.77122926,0.27229314,0.32591142,-0.47148001,-0.13088836,0.160628,1.083046,-0.91633908,between 0.523583695 and 0.708821715
0.44893933,-1.3031569,-1.2799684,0.56064073,-0.35962418,0.49794962,-0.99046854,-1.1824767,between 0.708821715 and 0.9013542725
-1.1914375,-0.34130436,-0.30490541,1.5434712,-0.62259142,0.48404847,0.13612939,-0.56933085,less than 0.523583695
1.1602149,1.4767295,-0.33480814,1.5275496,-1.2803243,0.30858905,-0.44455873,-0.36154437,less than 0.523583695
0.65008563,1.3587866,-1.5558815,-0.79275598,0.82705188,-0.5327957,-0.68827556,1.020474,between 0.708821715 and 0.9013542725
-0.54110976,-1.404467,1.5167777,-1.2034921,0.088570337,-0.43364329,-0.0052475435,1.0335517,between 0.708821715 and 0.9013542725
0.25955324,-0.96463799,-1.1553625,1.4721654,-0.38199176,-1.1639952,0.85867301,-1.441723,between 0.523583695 and 0.708821715
-0.87737145,-1.0931669,-1.3549404,0.16953761,1.3551292,-1.5394344,-0.5372275,0.91117935,between 0.708821715 and 0.9013542725
-0.48908211,-0.42760799,0.84462257,-1.5018268,-1.5129402,-1.0899568,-0.27983332,1.072748,less than 0.523583695
0.59753298,-1.4175289,-0.35638434,-1.0242849,0.42812991,-1.3364333,0.40409357,0.56739997,between 0.523583695 and 0.708821715
-0.99238706,-0.72523388,-0.65887956,1.1044577,-1.517755,0.15125333,0.055260103,1.1728273,between 0.708821715 and 0.9013542725
0.82000234,1.4080196,0.01038896,-0.48675956,-0.55270999,0.26358642,-0.54309795,-0.8722736,between 0.708821715 and 0.9013542725
0.23279575,0.27405713,-1.377844,1.530008,-1.3273615,0.78794851,0.9823457,0.55108933,between 0.708821715 and 0.9013542725
0.68220031,0.49122511,-0.46402832,-0.11659704,1.4566599,-1.4468475,1.0705956,1.4610707,greater than 0.9013542725
0.55410535,-1.4098114,0.3360619,0.050725695,1.2617422,0.56003988,-0.21510431,-0.82546215,between 0.523583695 and 0.708821715
0.68033494,-0.94600167,1.3299874,-0.65701043,0.86974536,1.2918224,-0.072765615,1.5604836,less than 0.523583695
-0.19179601,-0.6090729,-0.29424725,0.15296576,-0.017205992,-1.4924177,0.93412872,-1.4517571,greater than 0.9013542725
-1.3151017,-1.4920214,-0.99314483,-0.39289743,-1.570129,-0.18225365,-0.51053476,0.091771324,greater than 0.9013542725
-0.89490262,-0.45241923,0.17214434,-1.4386173,1.5097046,0.55875403,1.2344336,1.1836362,greater than 0.9013542725
0.40831071,0.0068240923,-1.1062876,0.38727938,-1.4601108,0.53503716,-0.36389614,1.4929854,between 0.708821715 and 0.9013542725
-1.063543,0.37918634,1.4259704,-0.68891996,-1.0196734,-1.0132812,0.38172634,-0.55637298,between 0.523583695 and 0.708821715
0.4768902,0.8550453,0.45319035,1.4332462,0.87036588,-1.0314891,0.72067273,0.35068325,between 0.708821715 and 0.9013542725
0.0068482026,-0.98525181,-1.5246624,0.13912516,-0.067692927,0.0072195146,-0.5281969,-1.3201045,between 0.708821715 and 0.9013542725
1.1743152,-0.31722316,0.65159627,-1.0558404,-1.3350315,-0.32422497,-0.0034061509,-0.22810769,less than 0.523583695
1.515112,-0.055639359,-0.055025863,0.99219495,1.0730689,0.12175527,0.46314311,0.22189153,between 0.708821715 and 0.9013542725
0.80751091,-0.014727298,-1.3854824,0.0062273138,-1.1822573,0.14335798,0.049896605,-0.043543008,less than 0.523583695
1.5341127,-0.11007507,-0.085202307,-0.45231309,-0.9547569,-0.65601558,-0.76518395,-0.98763543,less than 0.523583695
0.20687083,-0.64210125,0.065122908,0.54955829,-0.69247449,-1.4226068,1.1306762,1.0193178,between 0.708821715 and 0.9013542725
0.17927409,1.4522264,-0.9642595,0.54338004,-0.64656717,-0.36319571,-0.099369375,0.33288002,between 0.708821715 and 0.9013542725
0.43322137,-1.4942573,-1.0661801,1.1377929,0.94300635,1.1746391,1.466444,-0.12408256,between 0.523583695 and 0.708821715
-0.93717662,-1.1569732,-1.3897572,-0.00053712427,-0.85931297,1.3710455,0.30851525,-1.2179861,greater than 0.9013542725
0.035819734,-0.040381028,-0.74737006,-1.2353974,0.59595177,0.92816023,-0.14620522,-0.8493291,greater than 0.9013542725
-1.3851123,0.10518679,0.60520968,-1.318637,0.60239952,1.3068715,1.4674574,-0.83034138,less than 0.523583695
-1.3167651,0.37841491,1.096178,-0.15394829,-1.0042636,0.067247747,-0.071861571,-0.6277136,less than 0.523583695
-1.0578581,0.51890537,-1.4138279,-0.014719429,-0.388881,0.94395764,-1.1551524,-0.70070086,between 0.708821715 and 0.9013542725
1.446519,-1.2420246,0.59736856,-0.036354271,-0.083021387,-0.8261325,-0.27816547,-0.57058605,between 0.708821715 and 0.9013542725
-0.72788863,-0.44527764,-0.034610188,-0.8196573,-0.82268922,-0.97144708,-0.1621859,-0.17861229,between 0.523583695 and 0.708821715
-1.3951314,-1.0583963,-1.2425257,0.76468082,-1.3419664,-0.15802065,-1.5504209,0.83104626,greater than 0.9013542725
-1.4528001,0.63205235,1.5370107,1.2980846,0.48237435,-1.4688559,-1.5455509,1.3389431,between 0.523583695 and 0.708821715
0.080283165,0.38754635,-1.2401654,-0.72777661,0.64562856,0.90511764,-0.16399432,0.76418749,greater than 0.9013542725
-0.2441283,-1.4423796,1.1973784,0.2307279,0.21170583,-0.077551348,0.87037592,-1.0291015,less than 0.523583695
-0.12999767,-1.4844186,-0.66382252,0.80250462,-1.0546733,0.20160364,-1.5235257,-1.0328797,greater than 0.9013542725
-0.80621968,-0.23472986,0.82005768,1.4925538,-0.7974468,0.30134748,0.92442137,-0.68172212,less than 0.523583695
-0.24249004,-0.26137981,0.27330408,1.2223569,0.51743913,0.52451223,0.17427623,1.3449558,between 0.523583695 and 0.708821715
-1.560302,0.33169932,-1.1006768,-1.4517084,0.93271568,0.65205348,-0.38985415,-1.4882183,greater than 0.9013542725
-1.3514656,0.64503398,-0.0030834107,1.1846788,0.99688377,1.1681917,-1.5220806,0.53961948,greater than 0.9013542725
1.2248554,-1.0812551,0.41321459,1.0004648,-1.0635984,0.79977727,-0.84185821,0.2573226,between 0.523583695 and 0.708821715
-0.7155652,1.5305276,-0.55321809,-0.9983418,-1.0828409,1.5535141,0.11746297,-0.088625989,greater than 0.9013542725
-0.33699215,-0.30571078,1.1488725,-0.96318607,1.1984473,1.4813905,1.2334231,-1.08538,between 0.523583695 and 0.708821715
0.26327394,-1.5645222,1.0818856,0.083489261,-0.39597478,0.53064689,-1.4733782,1.2888358,between 0.523583695 and 0.708821715
0.19769387,-1.5039268,-1.5143034,-0.75601521,1.4810094,1.2343575,1.2488329,-1.5010488,between 0.523583695 and 0.708821715
1.3033954,-0.26023425,1.2328616,-0.17470574,-1.06179,-0.55117494,-0.74053773,-1.4287292,less than 0.523583695
-0.7865325,0.62351378,-0.066217222,0.36990062,1.3307832,-0.40012764,0.89145151,0.55725185,greater than 0.9013542725
-0.52993887,0.24887285,-0.15868655,-0.54010591,1.5474734,1.3838724,1.1878041,-0.74567006,between 0.523583695 and 0.708821715
1.2504545,-0.55918277,0.034495957,-0.76044758,-1.2344449,-1.2915567,0.85428585,-0.75867038,less than 0.523583695
-1.2997322,-0.50523044,-1.1465386,-1.4634707,0.81803196,0.80146709,-1.2079602,1.3929755,greater than 0.9013542725
