"RowNumber","CustomerId","Surname","CreditScore","Geography","Gender","Age","Tenure","Balance","NumOfProducts","HasCrCard","IsActiveMember","EstimatedSalary","Exited"
70,15728419,"Porter",693,"Germany","Male",33,3,46789.14,1,1,0,60321.12,1
71,15806550,"Marshall",817,"France","Female",52,8,136789.01,2,1,0,171239.54,0
72,15586459,"Ortiz",655,"Spain","Male",31,3,48901.23,1,1,0,70321.12,1
73,15660422,"Hughes",819,"Germany","Female",49,6,114567.89,2,1,0,143217.65,0
74,15735089,"Lopez",705,"France","Male",30,2,21234.56,1,0,1,50211.56,1
75,15811746,"Moreno",743,"Spain","Female",51,7,163456.78,3,1,1,171239.54,0
76,15579047,"Murray",607,"Germany","Male",28,2,19234.56,1,0,0,50123.78,1
77,15653614,"Parker",807,"France","Female",53,8,157896.54,3,1,0,181945.67,0
78,15727281,"Harrison",659,"Spain","Male",34,3,46789.14,1,1,0,60321.12,1
79,15805544,"Hansen",765,"Germany","Female",45,6,96789.14,2,1,0,120823.12,0
80,15581653,"Kelly",599,"France","Male",25,1,21234.56,1,0,1,40211.56,1
81,15649218,"Sanchez",823,"Spain","Female",52,8,194567.89,3,1,1,181671.23,0
82,15723883,"Ferguson",711,"Germany","Male",36,4,69211.46,2,1,1,100934.87,0
83,15807562,"Ryan",785,"France","Female",51,7,136789.01,2,1,0,171239.54,0
84,15587269,"Nichols",683,"Spain","Male",32,3,48901.23,1,1,0,70321.12,1
85,15650846,"Spencer",795,"Germany","Female",50,6,114567.89,2,1,0,143217.65,0
86,15724513,"Oliver",627,"France","Male",27,2,19234.56,1,0,1,50123.78,1
87,15803600,"Lane",775,"Spain","Female",49,6,136789.01,2,1,1,130945.67,0
88,15579175,"Fox",609,"Germany","Male",29,2,21234.56,1,0,0,50123.78,1
89,15653731,"George",829,"France","Female",54,8,163456.78,3,1,0,181945.67,0
90,15727486,"Simpson",693,"Spain","Male",35,4,69211.46,2,1,1,100934.87,0
91,15805859,"Cameron",767,"Germany","Female",44,5,96789.14,2,1,0,120823.12,0
92,15582379,"Williamson",625,"France","Male",28,2,19234.56,1,0,1,50211.56,1
93,15649544,"Baker",819,"Spain","Female",51,7,194567.89,3,1,1,171239.54,0
94,15724218,"Grant",671,"Germany","Male",33,3,46789.14,1,1,0,60321.12,1
95,15807984,"Hunter",813,"France","Female",53,8,136789.01,2,1,0,171239.54,0
96,15587687,"Duncan",623,"Spain","Male",30,2,32456.78,1,0,1,55321.98,1
97,15652051,"Carter",785,"Germany","Female",50,6,114567.89,2,1,0,143217.65,0
98,15726063,"Fuller",695,"France","Male",31,3,48901.23,1,1,0,70321.12,1
99,15805235,"Barnes",757,"Spain","Female",49,6,136789.01,2,1,1,130945.67,0
100,15579993,"Pearson",611,"Germany","Male",27,2,19234.56,1,0,0,50123.78,1
101,15654006,"Welch",821,"France","Female",52,8,157896.54,3,1,0,181945.67,0
102,15728939,"Welch",703,"Spain","Male",36,4,69211.46,2,1,1,100934.87,0
103,15807068,"Russell",773,"Germany","Female",45,5,96789.14,2,1,0,120823.12,0
104,15581361,"Riley",643,"France","Male",30,2,21234.56,1,0,1,50211.56,1
105,15650933,"Fisher",815,"Spain","Female",51,7,194567.89,3,1,1,171239.54,0
106,15725617,"Hall",699,"Germany","Male",34,3,46789.14,1,1,0,60321.12,1
107,15804810,"Foster",811,"France","Female",53,8,136789.01,2,1,0,171239.54,0
108,15588149,"Wright",677,"Spain","Male",32,3,48901.23,1,1,0,70321.12,1
109,15659492,"Butler",845,"Germany","Female",52,6,114567.89,2,1,0,143217.65,0
110,15730665,"Lewis",733,"France","Male",30,2,19234.56,1,0,1,50211.56,1
111,15808386,"Sims",793,"Spain","Female",50,6,136789.01,2,1,1,130945.67,0
112,15579131,"Burns",635,"Germany","Male",29,2,21234.56,1,0,0,50123.78,1
113,15652900,"Rogers",823,"France","Female",54,8,157896.54,3,1,0,181945.67,0
114,15726633,"Cooper",727,"Spain","Male",36,4,69211.46,2,1,1,100934.87,0
115,15805668,"Houston",785,"Germany","Female",46,5,96789.14,2,1,0,120823.12,0
116,15580881,"Thompson",649,"France","Male",28,2,19234.56,1,0,1,50211.56,1
117,15651448,"Walker",839,"Spain","Female",53,8,194567.89,3,1,1,171239.54,0
118,15725315,"Reed",695,"Germany","Male",33,3,46789.14,1,1,0,60321.12,1
119,15804693,"Cunningham",821,"France","Female",52,8,136789.01,2,1,0,171239.54,0
120,15587535,"Crawford",673,"Spain","Male",31,3,48901.23,1,1,0,70321.12,1
121,15660059,"Perry",851,"Germany","Female",51,6,114567.89,2,1,0,143217.65,0
122,15730249,"Brooks",741,"France","Male",30,2,21234.56,1,0,1,50211.56,1
123,15808193,"Mason",799,"Spain","Female",50,6,136789.01,2,1,1,130945.67,0
124,15580459,"Chen",683,"Germany","Male",29,2,19234.56,1,0,0,50123.78,1
125,15652837,"Bryant",837,"France","Female",54,8,163456.78,3,1,0,181945.67,0
126,15726549,"Wong",707,"Spain","Male",35,4,69211.46,2,1,1,100934.87,0
127,15805834,"Fowler",803,"Germany","Female",47,5,96789.14,2,1,0,120823.12,0
128,15581291,"Khan",659,"France","Male",26,1,21234.56,1,0,1,40211.56,1
129,15651703,"Bennett",869,"Spain","Female",53,8,194567.89,3,1,1,171239.54,0
130,15725871,"Lee",729,"Germany","Male",33,3,46789.14,1,1,0,60321.12,1
131,15805019,"Brooks",787,"France","Female",50,6,136789.01,2,1,0,171239.54,0
132,15588879,"Hall",699,"Spain","Male",32,3,48901.23,1,1,0,70321.12,1
133,15660713,"Martin",833,"Germany","Female",51,6,114567.89,2,1,0,143217.65,0
134,15730937,"Parker",773,"France","Male",30,2,19234.56,1,0,1,50211.56,1
135,15808454,"Alexander",817,"Spain","Female",52,8,163456.78,3,1,1,171239.54,0
136,15580007,"Scott",647,"Germany","Male",28,2,19234.56,1,0,0,50123.78,1
137,15652355,"Peterson",843,"France","Female",54,8,157896.54,3,1,0,181945.67,0
138,15727491,"Sanders",761,"Spain","Male",36,4,69211.46,2,1,1,100934.87,0
139,15806236,"Ross",791,"Germany","Female",46,5,96789.14,2,1,0,120823.12,0
140,15582027,"Taylor",681,"France","Male",29,2,21234.56,1,0,1,50211.56,1
141,15651493,"Brown",851,"Spain","Female",53,8,194567.89,3,1,1,171239.54,0
142,15725947,"Jordan",743,"Germany","Male",34,3,46789.14,1,1,0,60321.12,1
143,15804855,"Evans",811,"France","Female",52,8,136789.01,2,1,0,171239.54,0
144,15587865,"Garcia",691,"Spain","Male",32,3,48901.23,1,1,0,70321.12,1
145,15660449,"Jackson",869,"Germany","Female",51,6,114567.89,2,1,0,143217.65,0
146,15730633,"Allen",747,"France","Male",30,2,19234.56,1,0,1,50211.56,1
147,15808090,"Washington",799,"Spain","Female",50,6,136789.01,2,1,1,130945.67,0
148,15580235,"Davis",655,"Germany","Male",27,2,19234.56,1,0,0,50123.78,1
149,15652611,"Miller",837,"France","Female",54,8,163456.78,3,1,0,181945.67,0
150,15726749,"Wilson",733,"Spain","Male",35,4,69211.46,2,1,1,100934.87,0
151,15805803,"Moore",805,"Germany","Female",47,5,96789.14,2,1,0,120823.12,0
152,15583499,"Anderson",681,"France","Male",30,2,21234.56,1,0,1,50211.56,1
153,15651245,"Thomas",883,"Spain","Female",53,8,194567.89,3,1,1,171239.54,0
154,15726217,"White",753,"Germany","Male",34,3,46789.14,1,1,0,60321.12,1
155,15804651,"Harris",793,"France","Female",52,8,136789.01,2,1,0,171239.54,0
156,15587421,"Martin",711,"Spain","Male",32,3,48901.23,1,1,0,70321.12,1
157,15660727,"Thompson",875,"Germany","Female",51,6,114567.89,2,1,0,143217.65,0
158,15730967,"Garcia",767,"France","Male",30,2,19234.56,1,0,1,50211.56,1
159,15807875,"Martinez",807,"Spain","Female",50,6,136789.01,2,1,1,130945.67,0
160,15581569,"Kim",687,"Germany","Male",28,2,19234.56,1,0,0,50123.78,1
161,15652267,"Jackson",885,"France","Female",54,8,157896.54,3,1,0,181945.67,0
162,15727649,"Brown",761,"Spain","Male",36,4,69211.46,2,1,1,100934.87,0
163,15806087,"Wilson",819,"Germany","Female",46,5,96789.14,2,1,0,120823.12,0
164,15580299,"Davis",695,"France","Male",29,2,21234.56,1,0,1,50211.56,1
165,15651747,"Miller",869,"Spain","Female",53,8,194567.89,3,1,1,171239.54,0
166,15726539,"Moore",745,"Germany","Male",34,3,46789.14,1,1,0,60321.12,1
167,15805453,"Taylor",837,"France","Female",52,8,136789.01,2,1,0,171239.54,0
168,15588481,"Hall",703,"Spain","Male",32,3,48901.23,1,1,0,70321.12,1
169,15660999,"White",877,"Germany","Female",51,6,114567.89,2,1,0,143217.65,0
170,15731221,"Allen",771,"France","Male",30,2,19234.56,1,0,1,50211.56,1
171,15808266,"Martin",813,"Spain","Female",50,6,136789.01,2,1,1,130945.67,0
172,15581895,"Scott",691,"Germany","Male",28,2,19234.56,1,0,0,50123.78,1
173,15652949,"Brown",893,"France","Female",54,8,163456.78,3,1,0,181945.67,0
174,15728171,"Jones",763,"Spain","Male",36,4,69211.46,2,1,1,100934.87,0
175,15806427,"Smith",809,"Germany","Female",47,5,96789.14,2,1,0,120823.12,0
176,15580619,"Johnson",699,"France","Male",29,2,21234.56,1,0,1,50211.56,1
177,15651601,"Williams",899,"Spain","Female",53,8,194567.89,3,1,1,171239.54,0
178,15726481,"Davis",751,"Germany","Male",34,3,46789.14,1,1,0,60321.12,1
179,15805207,"Harris",827,"France","Female",52,8,136789.01,2,1,0,171239.54,0
180,15588669,"Baker",715,"Spain","Male",32,3,48901.23,1,1,0,70321.12,1
181,15661257,"Hall",887,"Germany","Female",51,6,114567.89,2,1,0,143217.65,0
182,15731489,"Brown",781,"France","Male",30,2,19234.56,1,0,1,50211.56,1
183,15807725,"Miller",823,"Spain","Female",50,6,136789.01,2,1,1,130945.67,0
184,15582435,"Wilson",705,"Germany","Male",28,2,19234.56,1,0,0,50123.78,1
185,15652625,"Moore",911,"France","Female",54,8,157896.54,3,1,0,181945.67,0
186,15728261,"Taylor",773,"Spain","Male",36,4,69211.46,2,1,1,100934.87,0
187,15806284,"Anderson",839,"Germany","Female",46,5,96789.14,2,1,0,120823.12,0
188,15580983,"Thomas",723,"France","Male",30,2,21234.56,1,0,1,50211.56,1
189,15652158,"White",921,"Spain","Female",53,8,194567.89,3,1,1,171239.54,0
190,15726685,"Harris",785,"Germany","Male",34,3,46789.14,1,1,0,60321.12,1
191,15805415,"Jackson",851,"France","Female",52,8,136789.01,2,1,0,171239.54,0
192,15587729,"Baker",743,"Spain","Male",32,3,48901.23,1,1,0,70321.12,1
193,15661465,"Martin",899,"Germany","Female",51,6,114567.89,2,1,0,143217.65,0
194,15731535,"Thompson",791,"France","Male",30,2,19234.56,1,0,1,50211.56,1
195,15808099,"Davis",837,"Spain","Female",50,6,136789.01,2,1,1,130945.67,0
196,15583063,"Miller",727,"Germany","Male",28,2,19234.56,1,0,0,50123.78,1
197,15652967,"Wilson",937,"France","Female",54,8,163456.78,3,1,0,181945.67,0
198,15728543,"Anderson",791,"Spain","Male",36,4,69211.46,2,1,1,100934.87,0
199,15806601,"Smith",861,"Germany","Female",47,5,96789.14,2,1,0,120823.12,0
200,15580217,"Johnson",751,"France","Male",29,2,21234.56,1,0,1,50211.56,1
